Alcohol,Malic.acid,Ash,Acl,Mg,Phenols,Flavanoids,Nonflavanoid.phenols,Proanth,Color.int,Hue,OD,Proline,Wine
'\'(14.07-inf)\'','\'(-inf-1.752]\'','\'(2.108-2.482]\'','\'(14.48-18.36]\'','\'(125.2-143.6]\'','\'(2.72-3.3]\'','\'(2.236-3.184]\'','\'(0.236-0.342]\'','\'(1.678-2.312]\'','\'(3.624-5.968]\'','\'(0.972-1.218]\'','\'(3.454-inf)\'','\'(838.8-1119.2]\'',1
'\'(12.55-13.31]\'','\'(1.752-2.764]\'','\'(2.108-2.482]\'','\'(-inf-14.48]\'','\'(88.4-106.8]\'','\'(2.14-2.72]\'','\'(2.236-3.184]\'','\'(0.236-0.342]\'','\'(1.044-1.678]\'','\'(3.624-5.968]\'','\'(0.972-1.218]\'','\'(2.908-3.454]\'','\'(838.8-1119.2]\'',1
'\'(12.55-13.31]\'','\'(1.752-2.764]\'','\'(2.482-2.856]\'','\'(18.36-22.24]\'','\'(88.4-106.8]\'','\'(2.72-3.3]\'','\'(3.184-4.132]\'','\'(0.236-0.342]\'','\'(2.312-2.946]\'','\'(3.624-5.968]\'','\'(0.972-1.218]\'','\'(2.908-3.454]\'','\'(1119.2-1399.6]\'',1
'\'(14.07-inf)\'','\'(1.752-2.764]\'','\'(2.482-2.856]\'','\'(14.48-18.36]\'','\'(106.8-125.2]\'','\'(3.3-inf)\'','\'(3.184-4.132]\'','\'(0.236-0.342]\'','\'(1.678-2.312]\'','\'(5.968-8.312]\'','\'(0.726-0.972]\'','\'(2.908-3.454]\'','\'(1399.6-inf)\'',1
'\'(12.55-13.31]\'','\'(1.752-2.764]\'','\'(2.856-inf)\'','\'(18.36-22.24]\'','\'(106.8-125.2]\'','\'(2.72-3.3]\'','\'(2.236-3.184]\'','\'(0.342-0.448]\'','\'(1.678-2.312]\'','\'(3.624-5.968]\'','\'(0.972-1.218]\'','\'(2.908-3.454]\'','\'(558.4-838.8]\'',1
'\'(14.07-inf)\'','\'(1.752-2.764]\'','\'(2.108-2.482]\'','\'(14.48-18.36]\'','\'(106.8-125.2]\'','\'(2.72-3.3]\'','\'(3.184-4.132]\'','\'(0.236-0.342]\'','\'(1.678-2.312]\'','\'(5.968-8.312]\'','\'(0.972-1.218]\'','\'(2.362-2.908]\'','\'(1399.6-inf)\'',1
'\'(14.07-inf)\'','\'(1.752-2.764]\'','\'(2.108-2.482]\'','\'(14.48-18.36]\'','\'(88.4-106.8]\'','\'(2.14-2.72]\'','\'(2.236-3.184]\'','\'(0.236-0.342]\'','\'(1.678-2.312]\'','\'(3.624-5.968]\'','\'(0.972-1.218]\'','\'(3.454-inf)\'','\'(1119.2-1399.6]\'',1
'\'(13.31-14.07]\'','\'(1.752-2.764]\'','\'(2.482-2.856]\'','\'(14.48-18.36]\'','\'(106.8-125.2]\'','\'(2.14-2.72]\'','\'(2.236-3.184]\'','\'(0.236-0.342]\'','\'(1.044-1.678]\'','\'(3.624-5.968]\'','\'(0.972-1.218]\'','\'(3.454-inf)\'','\'(1119.2-1399.6]\'',1
'\'(14.07-inf)\'','\'(-inf-1.752]\'','\'(2.108-2.482]\'','\'(-inf-14.48]\'','\'(88.4-106.8]\'','\'(2.72-3.3]\'','\'(2.236-3.184]\'','\'(0.236-0.342]\'','\'(1.678-2.312]\'','\'(3.624-5.968]\'','\'(0.972-1.218]\'','\'(2.362-2.908]\'','\'(838.8-1119.2]\'',1
'\'(13.31-14.07]\'','\'(-inf-1.752]\'','\'(2.108-2.482]\'','\'(14.48-18.36]\'','\'(88.4-106.8]\'','\'(2.72-3.3]\'','\'(2.236-3.184]\'','\'(-inf-0.236]\'','\'(1.678-2.312]\'','\'(5.968-8.312]\'','\'(0.972-1.218]\'','\'(3.454-inf)\'','\'(838.8-1119.2]\'',1
